dataset,task,algorithm,fold,metric,score,mean_score
analcatdata_creditscore,binary,kNN,4,accuracy,0.7,0.8
analcatdata_creditscore,binary,NeuralNetwork,0,accuracy,0.9,0.89
analcatdata_creditscore,binary,NeuralNetwork,1,accuracy,0.85,0.89
analcatdata_creditscore,binary,NeuralNetwork,2,accuracy,1.0,0.89
analcatdata_creditscore,binary,NeuralNetwork,3,accuracy,0.95,0.89
analcatdata_creditscore,binary,NeuralNetwork,4,accuracy,0.75,0.89
analcatdata_dmft,multiclass,RandomForest,0,accuracy,0.175,0.17441823899371067
analcatdata_dmft,multiclass,RandomForest,1,accuracy,0.1625,0.17441823899371067
analcatdata_dmft,multiclass,RandomForest,2,accuracy,0.18238993710691823,0.17441823899371067
analcatdata_dmft,multiclass,RandomForest,3,accuracy,0.18238993710691823,0.17441823899371067
analcatdata_dmft,multiclass,RandomForest,4,accuracy,0.16981132075471697,0.17441823899371067
analcatdata_dmft,multiclass,GradientBoosting,0,accuracy,0.21875,0.22085691823899373
analcatdata_dmft,multiclass,GradientBoosting,1,accuracy,0.2,0.22085691823899373
analcatdata_dmft,multiclass,GradientBoosting,2,accuracy,0.2138364779874214,0.22085691823899373
analcatdata_dmft,multiclass,GradientBoosting,3,accuracy,0.25157232704402516,0.22085691823899373
analcatdata_dmft,multiclass,GradientBoosting,4,accuracy,0.22012578616352202,0.22085691823899373
analcatdata_dmft,multiclass,SVM,0,accuracy,0.1625,0.22461477987421383
analcatdata_dmft,multiclass,SVM,1,accuracy,0.26875,0.22461477987421383
analcatdata_dmft,multiclass,SVM,2,accuracy,0.25157232704402516,0.22461477987421383
analcatdata_dmft,multiclass,SVM,3,accuracy,0.2389937106918239,0.22461477987421383
analcatdata_dmft,multiclass,SVM,4,accuracy,0.20125786163522014,0.22461477987421383
analcatdata_dmft,multiclass,kNN,0,accuracy,0.18125,0.17944182389937105
analcatdata_dmft,multiclass,kNN,1,accuracy,0.1625,0.17944182389937105
analcatdata_dmft,multiclass,kNN,2,accuracy,0.2389937106918239,0.17944182389937105
analcatdata_dmft,multiclass,kNN,3,accuracy,0.16981132075471697,0.17944182389937105
analcatdata_dmft,multiclass,kNN,4,accuracy,0.14465408805031446,0.17944182389937105
analcatdata_dmft,multiclass,NeuralNetwork,0,accuracy,0.1875,0.19321540880503144
analcatdata_dmft,multiclass,NeuralNetwork,1,accuracy,0.20625,0.19321540880503144
analcatdata_dmft,multiclass,NeuralNetwork,2,accuracy,0.20125786163522014,0.19321540880503144
analcatdata_dmft,multiclass,NeuralNetwork,3,accuracy,0.1949685534591195,0.19321540880503144
analcatdata_dmft,multiclass,NeuralNetwork,4,accuracy,0.1761006289308176,0.19321540880503144
analcatdata_germangss,multiclass,RandomForest,0,accuracy,0.2625,0.265
analcatdata_germangss,multiclass,RandomForest,1,accuracy,0.1875,0.265
analcatdata_germangss,multiclass,RandomForest,2,accuracy,0.3125,0.265
analcatdata_germangss,multiclass,RandomForest,3,accuracy,0.25,0.265
analcatdata_germangss,multiclass,RandomForest,4,accuracy,0.3125,0.265
analcatdata_germangss,multiclass,GradientBoosting,0,accuracy,0.35,0.3975000000000001
analcatdata_germangss,multiclass,GradientBoosting,1,accuracy,0.3875,0.3975000000000001
analcatdata_germangss,multiclass,GradientBoosting,2,accuracy,0.4,0.3975000000000001
analcatdata_germangss,multiclass,GradientBoosting,3,accuracy,0.425,0.3975000000000001
analcatdata_germangss,multiclass,GradientBoosting,4,accuracy,0.425,0.3975000000000001
analcatdata_germangss,multiclass,SVM,0,accuracy,0.1875,0.20749999999999996
analcatdata_germangss,multiclass,SVM,1,accuracy,0.1875,0.20749999999999996
analcatdata_germangss,multiclass,SVM,2,accuracy,0.2,0.20749999999999996
analcatdata_germangss,multiclass,SVM,3,accuracy,0.225,0.20749999999999996
analcatdata_germangss,multiclass,SVM,4,accuracy,0.2375,0.20749999999999996
analcatdata_germangss,multiclass,kNN,0,accuracy,0.2375,0.2225
analcatdata_germangss,multiclass,kNN,1,accuracy,0.2,0.2225
analcatdata_germangss,multiclass,kNN,2,accuracy,0.275,0.2225
analcatdata_germangss,multiclass,kNN,3,accuracy,0.2125,0.2225
analcatdata_germangss,multiclass,kNN,4,accuracy,0.1875,0.2225
analcatdata_germangss,multiclass,NeuralNetwork,0,accuracy,0.2625,0.27
analcatdata_germangss,multiclass,NeuralNetwork,1,accuracy,0.3,0.27
analcatdata_germangss,multiclass,NeuralNetwork,2,accuracy,0.25,0.27
analcatdata_germangss,multiclass,NeuralNetwork,3,accuracy,0.25,0.27
analcatdata_germangss,multiclass,NeuralNetwork,4,accuracy,0.2875,0.27
balance_scale,multiclass,RandomForest,0,accuracy,0.8,0.8208
balance_scale,multiclass,RandomForest,1,accuracy,0.824,0.8208
balance_scale,multiclass,RandomForest,2,accuracy,0.792,0.8208
balance_scale,multiclass,RandomForest,3,accuracy,0.848,0.8208
balance_scale,multiclass,RandomForest,4,accuracy,0.84,0.8208
balance_scale,multiclass,GradientBoosting,0,accuracy,0.848,0.8592000000000001
balance_scale,multiclass,GradientBoosting,1,accuracy,0.856,0.8592000000000001
balance_scale,multiclass,GradientBoosting,2,accuracy,0.84,0.8592000000000001
balance_scale,multiclass,GradientBoosting,3,accuracy,0.888,0.8592000000000001
balance_scale,multiclass,GradientBoosting,4,accuracy,0.864,0.8592000000000001
balance_scale,multiclass,SVM,0,accuracy,0.92,0.9040000000000001
balance_scale,multiclass,SVM,1,accuracy,0.912,0.9040000000000001
balance_scale,multiclass,SVM,2,accuracy,0.888,0.9040000000000001
balance_scale,multiclass,SVM,3,accuracy,0.896,0.9040000000000001
balance_scale,multiclass,SVM,4,accuracy,0.904,0.9040000000000001
balance_scale,multiclass,kNN,0,accuracy,0.832,0.8304
balance_scale,multiclass,kNN,1,accuracy,0.808,0.8304
balance_scale,multiclass,kNN,2,accuracy,0.808,0.8304
